Site,Sku (Sykes),Sku (Magento),Product Title,Stock,Product Type,Size,Format,Cover,Material,Colour
Consumer,BB7246,7246,Bride to B - Wedding Anniversary Book,912,Planners & Organisers,Medium,,Hard Cover,Paper,White
Consumer,BB9905,9905,Busy Life Notebook - A6 (Paper),885,Notebook,Small,,Soft Cover,Paper,Navy
Consumer,BB7642,7642,Bride to B - Travel Wallet,873,Purses & Wallets,Medium,,,Faux Leather,Grey
Consumer,BB0317,0317,Pen Loop,871,Pens & Pencils,Small,,,Faux Leather,Silver
Consumer,BB9899,9899,Busy Life Notebook - Pink A5 (Faux),841,Notebook,Medium,,Hard Cover,Faux Leather,Pink
Consumer,BB8601,8601,Bride to B - Guest Message Cards (Romantic),840,Planners & Organisers,Small,,,Paper,White
Consumer,BB0348,0348,Bullet Journal (Silver faux),826,Notebook,Medium,,Hard Cover,Faux Leather,Silver
Consumer,BBR0010,R0010,Busy B Address Book Refills (5 sheets),791,Planners & Organisers,Large,,,Paper,White
Consumer,BB9738,9738,Birthday Card Book ,773,Planners & Organisers,Large,,Hard Cover,Paper,Pink
Consumer,BB7116,7116,Busy B - Large Pouch (Contemp),752,Purses & Wallets,Large,,,Faux Leather,Blue
Consumer,BB9547,9547,Desktop Calendar,725,Calendars,Small,Month to View,,Paper,Navy
Consumer,BB6768,6768,Bride to B - Keepsake Box (Script),709,Planners & Organisers,Large,,,,White
Consumer,BB7970,7970,Busy B - Travel Checklist (Fashion),704,List Pads,Medium,,,Paper,Multi
Consumer,BB8878,8878,Busy B - Busy Life Notebook - A6 Leopard,704,Notebook,Small,,Soft Cover,Paper,Multi
Consumer,BB9486,9486,Couples Calendar ,678,Calendars,Medium,Month to View,,Paper,Green
Consumer,BB9936,9936,Pencils ,675,Pens & Pencils,Small,,,,Multi
Consumer,BB7833,7833,Busy B - Pouch (Fashion),672,Purses & Wallets,Medium,,,Faux Leather,Gold
Consumer,BB8960,8960,Busy B - Busy Life Notebook - A6 Yellow,662,Notebook,Small,,Hard Cover,Faux Leather,Yellow
Consumer,BB4474,4474,Bride to B - Seating Plan (Script),661,Planners & Organisers,Medium,,,Paper,White
Consumer,BB0294,0294,List Pad (A5),656,List Pads,Medium,,,Paper,White
Consumer,BB9462,9462,Large Family Calendar ,650,Calendars,Large,Month to View,,Paper,Multi
Consumer,BB7802,7802,Busy B - Travel Wallet (Fashion),602,Purses & Wallets,Medium,,,Faux Leather,Pink
Consumer,BB9622,9622,Busy Life Diary ,590,Diaries,Medium,Week to View,Hard Cover,Paper,Multi
Consumer,BB8854,8854,Busy B - Busy Life Notebook - A6 Stripe,590,Notebook,Small,,Soft Cover,Paper,Navy
